302,0.65
347,0.42
315,0.65
50,0.76
112,0.62
252,0.71
97,0.86
104,0.74
196,0.73
235,0.88
265,0.71
34,0.94
18,0.63
377,0.47
344,0.47
136,0.76
280,0.68
339,0.81
275,0.78
175,0.85
31,0.74
126,0.85
245,0.81
254,0.85
303,0.73
91,0.38
40,0.46
7,0.68
239,0.59
168,0.64
209,0.68
231,0.74
56,0.64
90,0.64
189,0.88
192,0.86
73,0.84
371,0.89
176,0.9
362,0.91
164,0.81
134,0.89
94,0.36
142,0.92
393,0.77
222,0.76
155,0.77
385,0.96
267,0.73
343,0.59
170,0.68
353,0.63
71,0.96
251,0.7
365,0.86
12,0.78
257,0.78
157,0.65
114,0.59
387,0.53
23,0.95
42,0.53
10,0.52
26,0.76
374,0.39
88,0.64
105,0.69
396,0.84
359,0.81
274,0.58
140,0.84
277,0.7
66,0.61
2,0.72
236,0.85
21,0.7
113,0.72
376,0.34
266,0.72
261,0.71
149,0.79
28,0.46
118,0.47
272,0.49
121,0.94
59,0.42
259,0.9
218,0.84
287,0.89
398,0.67
57,0.46
139,0.78
46,0.86
258,0.77
253,0.93
375,0.38
182,0.68
39,0.48
98,0.9
331,0.73
221,0.75
110,0.61
233,0.64
334,0.73
9,0.45
127,0.78
184,0.72
163,0.68
43,0.87
317,0.58
370,0.72
227,0.64
271,0.54
286,0.92
55,0.64
47,0.89
282,0.81
156,0.7
178,0.72
22,0.94
250,0.74
108,0.93
378,0.56
83,0.92
373,0.79
292,0.56
30,0.65
399,0.95
268,0.83
205,0.57
299,0.71
203,0.97
107,0.91
63,0.56
273,0.52
169,0.65
225,0.61
148,0.96
35,0.88
285,0.93
119,0.71
388,0.49
130,0.96
364,0.77
350,0.74
361,0.93
384,0.96
212,0.95
229,0.82
372,0.95
141,0.9
289,0.79
210,0.79
172,0.86
312,0.78
65,0.55
211,0.82
283,0.8
306,0.79
381,0.73
256,0.76
342,0.58
242,0.7
195,0.78
367,0.57
340,0.75
270,0.72
281,0.8
276,0.89
232,0.69
45,0.88
311,0.84
77,0.64
80,0.5
137,0.71
92,0.34
183,0.75
181,0.71
160,0.57
44,0.91
135,0.82
5,0.9
32,0.91
206,0.63
348,0.57
223,0.71
87,0.66
386,0.46
332,0.75
320,0.75
128,0.84
316,0.54
78,0.44
16,0.66
328,0.8
131,0.77
154,0.8
101,0.64
368,0.51
219,0.74
207,0.66
214,0.94
390,0.64
341,0.79
53,0.72
61,0.47
33,0.9
0,0.92
99,0.79
75,0.72
322,0.72
220,0.76
308,0.69
349,0.62
13,0.62
354,0.59
327,0.69
360,0.85
290,0.58
132,0.71
193,0.94
146,0.75
19,0.62
20,0.64
79,0.46
262,0.7
102,0.62
300,0.62
338,0.81
215,0.93
82,0.92
41,0.49
147,0.83
319,0.8
304,0.62
180,0.71
85,0.76
305,0.74
116,0.56
144,0.8
382,0.82
138,0.8
194,0.77
1,0.76
392,0.84
307,0.8
234,0.91
89,0.74
216,0.91
177,0.82
345,0.49
333,0.71
351,0.73
336,0.72
81,0.96
162,0.67
8,0.5
346,0.47
200,0.73
369,0.67
355,0.73
323,0.62
197,0.73
264,0.75
366,0.74
86,0.72
96,0.48
352,0.64
284,0.94
394,0.89
36,0.64
313,0.67
269,0.77
179,0.73
191,0.87
115,0.66
72,0.93
391,0.71
152,0.86
294,0.61
117,0.45
217,0.85
67,0.57
249,0.77
51,0.56
187,0.93
159,0.52
60,0.48
95,0.42
226,0.63
244,0.63
124,0.57
24,0.97
161,0.53
330,0.8
129,0.92
237,0.86
260,0.87
358,0.7
49,0.78
